ids,violation_type,type,start_at,end_at,status,,,,,,,,,,
2572904,MP,,50.31,50.51,Y,,,,,,,,,,
2575985,LS,,0.23,0.27,Y,FSLA-Re,,,,,,,,,
2575985,LS,,0.29,0.39,Y,,,,,,,,,,
2575985,LS,,0.45,1,Y,,,,,,,,,,
2575985,LS,,1.02,1.09,Y,,,,,,,,,,
2575985,LS,,1.15,1.17,Y,,,,,,,,,,
2575985,LS,,1.18,1.26,Y,,,,,,,,,,
2575985,LS,,1.29,1.35,Y,,,,,,,,,,
2575985,UPD,telephone,12.05,12.38,Y,,,,,,,,,,
2575985,BM,Person,13.02,14.01,Y,,,,,,,,,,
2575985,Imposter,,14.02,14.5,Y,,,,,,,,,,
2575985,BM,Person,14.03,14.33,Y,,,,,,,,,,
2575985,BM,Person,14.53,15.56,Y,,,,,,,,,,
2575985,MP,,15.57,16.05,Y,,,,,,,,,,
2575985,BM,Person,16.05,16.08,Y,,,,,,,,,,
2575985,UPD,telephone,25.44,25.52,Y,,,,,,,,,,
2575985,UPD,telephone,25.55,26.02,Y,,,,,,,,,,
2575985,LS,,34.15,46.45,Y,,,,,,,,,,
2575985,LS,,48.09,48.16,Y,,,,,,,,,,
2575985,LS,,53.02,53.09,Y,,,,,,,,,,
2575985,UPD,telephone,53.49,54.32,Y,,,,,,,,,,
2575985,LS,,54.36,62.05,Y,,,,,,,,,,
1110846,left screen,,8.49,9.02,Y,,,,,,,,,,
1110846,left screen,,9.22,9.43,Y,,,,,,,,,,
1110846,left screen,,15.27,15.35,Y,,,,,,,,,,
1110846,left screen,,15.38,15.47,Y,,,,,,,,,,
1110846,left screen,,88.03,88.1,Y,,,,,,,,,,
1110846,left screen,,89.57,90.02,Y,,,,,,,,,,
1110846,left screen,,91.16,91.22,Y,,,,,,,,,,
1110846,left screen,,93.43,93.45,Y,,,,,,,,,,
1110846,LS,,53.14,53.37,Y,,,,,,,,,,
1110846,LS,,53.47,53.55,Y,,,,,,,,,,
1110846,LS,,87.04,87.31,Y,,,,,,,,,,
1110846,LS,,87.45,87.51,Y,,,,,,,,,,
1110846,LS,,93.53,94.04,Y,,,,,,,,,,
1110846,LS,,126.17,126.21,Y,,,,,,,,,,
1110846,BM,,68.02,68.13,Y,,,,,,,,,,
1110846,BM,,69.14,69.43,Y,,,,,,,,,,
1110846,BM,,69.44,69.47,Y,,,,,,,,,,
1110846,BM,,70.05,71,Y,,,,,,,,,,
1110846,BM,,71.01,72.23,Y,,,,,,,,,,
1110846,BM,,72.34,73.2,Y,,,,,,,,,,
1110846,BM,,73.57,74.16,Y,,,,,,,,,,
1110846,BM,,75.09,78.58,Y,,,,,,,,,,
1110846,BM,,79.01,80.55,Y,,,,,,,,,,
1110846,BM,,81.07,81.53,Y,,,,,,,,,,
1110846,BM,,86.22,86.26,Y,,,,,,,,,,
1110846,BM,,86.38,86.41,Y,,,,,,,,,,
1110846,BM,,91.11,91.29,Y,,,,,,,,,,
1110846,MP,,88.11,88.2,Y,,,,,,,,,,
1110846,MP,,134.36,135.33,Y,,,,,,,,,,
1110846,MP,,135.53,136.06,Y,,,,,,,,,,
1110846,MP,,135.26,135.31,Y,,,,,,,,,,
1110846,MP,,137.42,137.47,Y,,,,,,,,,,
1110846,MP,,138.54,139.05,Y,,,,,,,,,,
1110846,MP,,139.11,139.16,Y,,,,,,,,,,
1110846,MP,,140.05,140.24,Y,,,,,,,,,,
1110846,MP,,141.47,142.56,Y,,,,,,,,,,
1110846,Imposter,,126.23,134.35,Y,ok,,,,,,,,,
1110846,Imposter,,135.23,135.25,Y,ok,,,,,,,,,
1110846,Imposter,,135.21,140.14,Y,ok,,,,,,,,,
1110846,Imposter,,140.18,141.48,Y,ok,,,,,,,,,
1110846,Imposter,,142.3,142.39,Y,ok,,,,,,,,,
1110846,BA,voice,0.06,0.08,Y,,,,,,,,,,
1110846,BA,voice,4.5,4.52,Y,,,,,,,,,,
1110846,BA,voice,4.55,5.11,Y,,,,,,,,,,
1110846,BA,voice,8.21,8.49,Y,,,,,,,,,,
1110846,BA,voice,9.17,9.26,Y,,,,,,,,,,
1110846,BA,keyboard,23,23.02,Y,,,,,,,,,,
1110846,BA,keyboard,71.53,72,Y,,,,,,,,,,
1110846,BA,pageflip,87.37,87.39,Y,,,,,,,,,,
1110846,FSLA,,67.35,67.39,Y,,,,,,,,,,
1110846,FSLA,,85.08,85.47,Y,,,,,,,,,,
1110846,FSLA,,86.43,86.47,Y,,,,,,,,,,
1110846,FSLA,,88.59,89.18,Y,,,,,,,,,,
1110846,FSLA,,89.31,89.38,Y,,,,,,,,,,
1110846,FSLA,,89.44,89.55,Y,,,,,,,,,,
1110846,FSLA,,90.03,90.06,Y,,,,,,,,,,
1110846,FSLA,,96.16,96.28,Y,,,,,,,,,,
1110846,UPD,,82.21,82.45,Y,,,,,,,,,,
1110846,left screen,,95.98452459,96.52360656,Y,,,,,,,,,,
2582196,UPD,Headphone,0,8.05,Y,FSLA-Re,,,,,,,,,
2582196,LS,,8.48,17.28,Y,,,,,,,,,,
2582196,Imposter,,17.28,25.08,Y,,,,,,,,,,
2582196,LS,,25.09,25.13,Y,,,,,,,,,,
2582196,left screen,,25.13,27.07,Y,,,,,,,,,,
2582196,LS,,27.08,48.06,Y,,,,,,,,,,
2582196,UPD,Cellphone,48.08,48.36,Y,,,,,,,,,,
2582196,UPD,Headphone,49.22,55.16,Y,,,,,,,,,,
2562989,LS,,0.24,0.28,Y,FSLA-Re,,,,,,,,,
2562989,left screen,,70.09,70.27,Y,,,,,,,,,,
2562989,left screen,,71.21,71.52,Y,,,,,,,,,,
2562989,left screen,,72.16,72.21,Y,,,,,,,,,,
2562989,LS,,74.25,74.5,Y,,,,,,,,,,
2562989,LS,,70.23,70.23,Y,,,,,,,,,,
2562989,LS,,70.36,70.41,NA,,,,,,,,,,
2562989,LS,,71.35,72.05,Y,,,,,,,,,,
2562989,LS,,72.28,72.29,Y,,,,,,,,,,
2562989,UPD,Cellphone,74.5,74.51,Y,,,,,,,,,,
2562989,MP,,78.11,78.22,Y,,,,,,,,,,
2562989,Imposter,,80.18,80.55,Y,,,,,,,,,,
2562989,Imposter,,82.24,84.53,Y,,,,,,,,,,
2562989,MP,,83.36,83.41,Y,,,,,,,,,,
1069670,BA,pageflip,0.23,0.25,Y,,,,,,,,,,
1069670,BA,voice,0.29,0.3,Y,,,,,,,,,,
1069670,BA,clutter,0.41,0.42,Y,,,,,,,,,,
1069670,BA,voice,0.51,0.52,Y,,,,,,,,,,
1069670,MP,,0.55,13.1,Y,,,,,,,,,,
1069670,LS,,85.16,85.17,Y,,,,,,,,,,
1069670,MP,,57.04,67.38,Y,,,,,,,,,,
1069670,MP,,51.35,56.24,Y,,,,,,,,,,
1069670,MP,,29.2,33.56,Y,,,,,,,,,,
1069670,MP,,16.07,21.53,Y,,,,,,,,,,
1069670,BA,voice,1.03,1.1,Y,,,,,,,,,,
1069670,BA,voice,1.14,1.15,Y,,,,,,,,,,
1069670,BA,voice,1.22,1.27,Y,,,,,,,,,,
1069670,BA,voice,1.37,1.41,Y,,,,,,,,,,
1069670,BA,voice,1.43,1.45,Y,,,,,,,,,,
1069670,BA,keyboard,2.57,3.15,Y,,,,,,,,,,
1069670,BA,keyboard,13.33,13.35,Y,,,,,,,,,,
1069670,BA,keyboard,13.49,13.52,Y,,,,,,,,,,
1069670,Imposter,,0.57,3.28,Y,,,,,,,,,,
1069670,Imposter,,9.44,85.17,Y,,,,,,,,,,
1069670,BA,keyboard,77.43,77.45,Y,,,,,,,,,,
1200644,FSLA,,10.51,11.14,Y,,,,,,,,,,
1200644,FSLA,,11.17,11.18,Y,,,,,,,,,,
1200644,FSLA,,11.19,11.21,Y,,,,,,,,,,
1200644,FSLA,,11.49,12.14,Y,,,,,,,,,,
1200644,FSLA,,13.02,13.08,Y,,,,,,,,,,
1200644,BM,,2.18,2.33,Y,,,,,,,,,,
1200644,BM,,43.55,44.06,Y,,,,,,,,,,
1200644,BM,,44.12,44.45,Y,,,,,,,,,,
1200644,BM,,44.57,45.11,Y,,,,,,,,,,
1200644,BM,,45.37,45.5,Y,,,,,,,,,,
1200644,left screen,,2.35,3.11,Y,,,,,,,,,,
1200644,Imposter,,2.04,2.16,Y,,,,,,,,,,
1200644,VNC,,0.2,2.01,Y,,,,,,,,,,
1200644,VNC,,3.12,4.1,Y,,,,,,,,,,
1200644,VNC,,4.18,4.48,Y,,,,,,,,,,
1200644,VNC,,5.05,5.53,Y,,,,,,,,,,
1200644,BA,voice,0.06,0.1,Y,,,,,,,,,,
1200644,BA,voice,0.3,0.33,Y,,,,,,,,,,
1200644,BA,voice,0.44,0.46,Y,,,,,,,,,,
1200644,BA,pageflip,10.45,10.49,Y,,,,,,,,,,
1200644,BA,pageflip,24.2,24.23,Y,,,,,,,,,,
1143030,Imposter,,15.48,21.12,Y,ok,,,,,,,,,
1143030,MP,,16.29,16.47,Y,,,,,,,,,,
2571123,BM,Person,21.26,21.32,Y,,,,,,,,,,
2571123,BM,Person,21.51,22.1,Y,,,,,,,,,,
2571123,left screen,,26.08,26.18,Y,,,,,,,,,,
2571123,BM,Person,26.18,26.2,Y,,,,,,,,,,
2571123,Imposter,,26.21,26.31,Y,,,,,,,,,,
2571123,MP,,26.35,28.22,Y,,,,,,,,,,
2571123,BM,Person,28.23,28.43,Y,,,,,,,,,,
2571123,BM,Person,28.5,29.01,Y,,,,,,,,,,
2571123,BM,Person,29.07,29.47,Y,,,,,,,,,,
2571123,BM,Person,30.1,30.12,Y,,,,,,,,,,
2571123,MP,,30.37,30.45,Y,,,,,,,,,,
2571123,BM,Person,30.46,31.53,Y,,,,,,,,,,
2571123,BM,Person,31.56,32.13,Y,,,,,,,,,,
2571123,FSLA,,0.18,0.28,Y,,,,,,,,,,
2571123,FSLA,,2.31,2.34,Y,,,,,,,,,,
2571123,FSLA,,2.37,2.55,Y,,,,,,,,,,
2571123,FSLA,,21.25,21.29,Y,,,,,,,,,,
2571123,FSLA,,23.02,23.11,Y,,,,,,,,,,
2571123,FSLA,,24.37,24.46,Y,,,,,,,,,,
2571123,FSLA,,25.2,25.33,Y,,,,,,,,,,
2571123,FSLA,,25.58,26.07,Y,,,,,,,,,,
2571123,FSLA,,28.46,28.54,Y,,,,,,,,,,
2571123,FSLA,,29.47,29.52,Y,,,,,,,,,,
2571123,FSLA,,32.19,32.23,Y,,,,,,,,,,
2641875,LS,,0.05,0.18,Y,FSLA-N,,,,,,,,,
2641875,LS,,0.21,0.33,Y,,,,,,,,,,
2641875,Imposter,,0.4,0.43,Y,,,,,,,,,,
2641875,MP,,0.47,0.48,Y,,,,,,,,,,
2641875,BM,Person,1.11,3.16,Y,Imposter but face is not visible(Consulted with Prabodh & Himanshu sir,,,,,,,,,
2641875,BM,Person,3.23,3.4,Y,,,,,,,,,,
1082410,BA,voice,0.04,0.13,Y,,,,,,,,,,
1082410,BA,voice,0.19,0.24,Y,,,,,,,,,,
1082410,MP,,0.07,0.12,Y,,,,,,,,,,
1082410,MP,,0.2,1.06,Y,,,,,,,,,,
1082410,BA,voice,0.55,1,Y,,,,,,,,,,
1082410,Imposter,,2.05,2.57,Y,,,,,,,,,,
1082410,BA,voice,2.57,3.02,Y,,,,,,,,,,
1082410,BA,voice,4.23,4.28,Y,,,,,,,,,,
1082410,MP,,5.59,9.47,Y,,,,,,,,,,
1082410,BA,keyboard,11.27,11.3,Y,,,,,,,,,,
1082410,MP,,12.31,12.58,Y,,,,,,,,,,
1082410,MP,,13.12,13.25,Y,,,,,,,,,,
1082410,MP,,18.1,18.2,Y,,,,,,,,,,
1082410,FSLA,,25.26,25.31,Y,,,,,,,,,,
1082410,FSLA,,26.02,26.26,Y,,,,,,,,,,
1082410,UPD,,26.05,26.08,Y,,,,,,,,,,
1061596,BA,keyboard,1.12,1.14,Y,,,,,,,,,,
1061596,LS,,1.21,2.21,Y,,,,,,,,,,
1061596,BA,clutter,1.22,1.26,Y,,,,,,,,,,
1061596,Imposter,,2.23,18.25,Y,,,,,,,,,,
1061596,BA,voice,2.55,2.59,Y,,,,,,,,,,
1061596,BA,voice,18.31,18.33,Y,,,,,,,,,,
1061596,MP,,18.37,18.39,Y,,,,,,,,,,
1061596,BA,voice,18.42,18.44,Y,,,,,,,,,,
1061596,MP,,18.46,19.06,Y,,,,,,,,,,
1061596,UPD,,18.55,19,Y,,,,,,,,,,
1061596,BA,voice,19.06,19.09,Y,,,,,,,,,,
1061596,BA,keyboard,0.05,0.06,Y,,,,,,,,,,
1061596,BA,keyboard,1.15,1.17,Y,,,,,,,,,,
1061596,BA,voice,2.22,2.29,Y,,,,,,,,,,
1061596,LS,,49.13,49.3,Y,,,,,,,,,,
1061596,LS,,50.41,50.45,Y,,,,,,,,,,
1061596,BM,,53.08,53.1,Y,,,,,,,,,,
1061596,LS,,63.53,64.04,Y,,,,,,,,,,
1061596,MP,,64.06,64.07,Y,,,,,,,,,,
1061596,LS,,64.36,64.4,Y,,,,,,,,,,
1061596,MP,,64.43,64.44,Y,,,,,,,,,,
1061596,BA,,65.2,65.22,Y,,,,,,,,,,
1061596,MP,,65.39,66,Y,,,,,,,,,,
1061596,left screen,,66.37,66.49,Y,,,,,,,,,,
1061596,MP,,66.46,66.48,Y,,,,,,,,,,
1061596,BA,keyboard,68.25,68.3,Y,,,,,,,,,,
1061596,BM,,70.48,71.4,Y,,,,,,,,,,
1061596,MP,,73.52,76,Y,,,,,,,,,,
2618424,LS,,79.15,79.2,Y,FSLA-Re,,,,,,,,,
2618424,LS,,80.08,80.12,Y,,,,,,,,,,
2618424,LS,,80.31,80.39,Y,,,,,,,,,,
2618424,LS,,80.44,80.55,Y,,,,,,,,,,
2618424,LS,,81.01,81.08,Y,,,,,,,,,,
2618424,LS,,81.27,81.38,Y,,,,,,,,,,
2618424,LS,,86.28,86.33,Y,,,,,,,,,,
2618424,LS,,95.48,95.56,Y,Added,,,,,,,,,
2618424,LS,,96.26,96.47,Y,,,,,,,,,,
2618424,LS,,100.47,100.5,Y,,,,,,,,,,
2656509,LS,,0,0.04,Y,,,,,,,,,,
2656509,LS,,60.39,60.47,Y,,,,,,,,,,
2669569,,,,,Y,,,,,127,,Invalid BM,,,
2644578,,,,,Y,,,,,,,Invalid MP,,,
2660396,BM,Person,113.26,113.37,Y,,,,,,,"Invalid Imposter,Invalid LS",,,"Head,body Movements"
2660396,BM,Person,114.18,114.2,Y,,,,,,,,,,
2660396,BM,Person,114.54,115.08,Y,,,,,,,,,,
2660396,BM,Person,115.26,115.28,Y,,,,,,,,,,
2660396,BM,Person,115.4,115.43,Y,,,,,,,,,,
2660396,LS,,0.7,0.8,Y,,,,,,,,,,
2660396,LS,,0.18,0.21,Y,,,,,,,,,,
2660396,LS,,0.25,0.25,Y,,,,,,,,,,
2660396,LS,,0.29,0.3,Y,,,,,,,,,,
2660396,LS,,0.37,0.38,Y,,,,,,,,,,
2660396,LS,,0.33,0.33,Y,,,,,,,,,,
2660396,LS,,0.44,0.45,Y,,,,,,,,,,
2660396,LS,,0.48,0.49,Y,,,,,,,,,,
2660396,LS,,1.06,1.16,Y,,,,,,,,,,
2660396,LS,,1.28,1.3,Y,,,,,,,,,,
2618915,UPD,Headphones,0,51.33,Y,long,FSLA-Re,,,,,,,,
2618915,LS,,0.07,0.42,Y,,,,,,,,,,
2618915,LS,,51.34,52.42,Y,,,,,,,,,,
2618915,LS,,92.41,93.28,Y,,,,,,,,,,
2573468,BM,Person,4.35,5.08,Y,,,,,,,,,,
2573468,BM,Person,6.01,6.07,Y,,,,,,,,,,
2573468,BM,Person,6.12,6.18,Y,,,,,,,,,,
2573468,FSLA,,0.46,0.53,Y,,,,,,,,,,
2602597,MP,,0.34,0.36,Y,-,,,,,,,,,
2602597,MP,,0.51,1.53,Y,,,,,,,,,,
2602597,BM,Person,1.54,2,Y,,,,,,,,,,
2602597,UPD,Headphones,1.57,2.07,Y,,,,,,,,,,
2602597,MP,,2.08,2.11,Y,,,,,,,,,,
2602597,MP,,2.15,2.23,Y,,,,,,,,,,
2602597,BM,Person,2.24,2.48,Y,,,,,,,,,,
2602597,UPD,Headphones,2.27,2.52,Y,,,,,,,,,,
2602597,MP,,2.38,2.46,Y,,,,,,,,,,
2602597,MP,,2.57,3.09,Y,,,,,,,,,,
2602597,UPD,Headphones,3.08,11.37,Y,,,,,,,,,,
2602597,MP,,8.32,8.58,Y,,,,,,,,,,
2602597,UPD,Headphones,11.44,11.52,Y,,,,,,,,,,
